id,input,label,Abbreviation,Phonetic,Orthographic,Semantic,Emoji,Other
5754,普通女生长期漂亮的小tips,不违规,,,,,,
5755,下午和大芃在蝴蝶标本区域玩螺旋滑滑梯，大芃一直让我跟着他一起滑，他先滑下去，然后起身站在滑滑梯旁边，看着我往下滑。我俩不停的滑了十几次，真的好开心。有时候希望眼睛成为一台相机，画面可以一直储存在大脑的硬盘里，不想以后模糊了这段记忆 ​,不违规,,,,,,
5756,很难说我到底是有耐心还是没耐心，玩丝之歌能跟各种boss耗到死，玩只狼马上俩小时因为不知道往哪走老是迷路已经在盘算退款了😅😅😅 ​,不违规,,1.0,,,,
5757,被今天这身萌哭了全员都好清新#red组合# L星现场X·shot的微博视频 ​,不违规,,,,,,
5758,天空记者：曼联在找左后卫，关注纳撒尼尔-布朗、刘易斯-霍尔,不违规,,,,,,
5759,周六进城巡店，喝了好喝的奶茶还吃了冰激凌球球，周日想点麦当劳不给送，肯德基也行，不挑的！下午去练了舞，这次一节课学了两个八拍了！晚上朋友来家吃饭喝酒聊聊天，如果明天不上班就美好了 ​,不违规,,,,,,
5760,工作日出门玩最爽啦；） ​,不违规,,,,,,
5761,瓜主爆料迪丽热巴和嘉行到期不续，新换的经纪人，新团队陆续成立中。赵露思签约新公司后一直都没有接触新剧，粉丝难免会为此 但以他如今在圈内的位置，早已过了需要无缝进组，单纯刷存在感的阶段，网传关晓彤，鹿晗复合是假的，复合的是另一个95生花，关鹿俩基本上不太可能复合了，因为他俩现在都有新的动态了。王安宇一个综艺，一部《小巷人家》让他的关注度和路人缘都上了一个档次，就是感情实在经不起扒。徐若晗的下一步洽谈的就是现偶维持女配的尊严，顺利的话，上半年就能进组了，已经出发参与五十公里桃花坞的录制了。秦岚这几天一直在找各种话题炒作，连之前最不愿意公开示众的古早照片都上了。翟颖对于自己这次翻红都莫名其妙的，他也没做什么营销，大多数热搜都是营销号和平台推上去的，他觉得自己年纪挺大了，现在只想和家人一起享受生活，所以很多找上门的工作基本都推了。张凌赫这段时间热度上升的要比田曦薇快不少，不过还没有彻底摆脱“待爆”标签，只是无限接近于一线而已，离顶流还有很大距离，所以他现在对这一秒过火抱有很大希望。 L小妖追剧w的微博视频 收起d,不违规,,,,,,
5762,"酸辣粉的家常做法,美食,美食教学,好看视频",不违规,,,,,,
5763,态度积极了许多！但湖人先发中锋还是没办法得到足够的球权支持？,不违规,,,,,,
5764,天：最近Sea有拍什么剧吗海：哦~有一部，有一部和Phi chai一起演的，#IWillAlwaysSaveYou#，P'Jo是导演天：和P'Jimmy海：啊对天：P'JoJo海：P'JoJo是导演天：但我想试着和Sea一起演戏，从没和和Sea一起演过海：我也想尝试一下海：但Sky演过很多剧了，我从荷尔蒙就开始关注你天：我演戏不多，我还演不到十部剧，在娱乐圈待了十多年海：真的吗天：对，Sea可能演得比我还多海：但是感觉Sky没有消失过，你一直都在天：因为我还活着海：不是，我经常在电视剧里看到你，Sky演的剧都是我感兴趣的。就像羽毛球、荷尔蒙这些剧，每部剧都让我觉得我想关注它，所以我就一直关注你。事实上我是Sky的粉丝天：谢谢你Sea🙏🏻，我也是暮色中的stwn的粉丝#TRENDTO黄金身材EP1 260322 L_草莓OvO_的微博视频 收起d,不违规,,,,,,
5765,「水芹菜炒腊肉」～是一碗春天🌸～ ​,不违规,,,,,,
5766,台州三天两夜怎么玩？有推荐吗？大陈岛vs温岭石塘？ ​,不违规,,,,,,
5767,火影手游，你都玩了多久？,不违规,,,,,,
5768,我就知道我完全不会想任何运动。。。报了四节体验瑜伽课今天上了第二节已经完全不想去了我感觉我要燃尽了 ​,不违规,,,,,,
5769,翻到了小时候 玩娃时期，在贴吧活跃的帐号，基本都是2010年左右的发的帖子。那个时候我的动手能力好强，做的衣服、小物什么的我现在也觉得好看！而且也能够在网上真的非常自信地分享和展示。（那个时候说话的语气好现在看来好搞笑…）小时候的我真的好棒！也是很幸福的一个小女孩，虽然现在J-doll已经停产了，可儿娃娃也几乎销声匿迹了，但是留下的幸福童年足够治愈我的一生 收起d,不违规,,,,,,
5770,朋友说要去青岛玩  我就给他狂推荐东西好羡慕我也要回家  山东孩子对家就这是这样恨海情天 ​,不违规,,,,,,
5771,刚我爸给我打电话：周末在杭州没出去玩？这周有没有要汇报的？要不以后让他下载个微博关注下我账号得了 ​,不违规,,,,,1.0,
5772,"酸辣粉的粗粉和细粉,粗粉有嚼劲细粉更入味,大家吃酸辣粉的口感...",不违规,,,,,,
5773,这就是大海最真实的一面！让人既震撼又敬畏，壮丽与危险并存，科技...,不违规,,,,,,
5774,鹰王27+8+12，杜伦两双错失绝杀，加时掀翻东部第一老鹰14战13胜,不违规,,,,,,
5775,oliviarodrigo超话#olivia rodrigo# SOUR（6.38m）昨日在Spotify的播放量超过了SZA的SOS Deluxe: LANA（6.36m），成为日增第7高的女艺人专辑 ​,不违规,,,,,,
5776,过了一个充实且有趣的周末老自带老己出去玩就是有意思 ​,不违规,,1.0,,,,
5777,中华人民共和国和俄罗斯联邦在纪念中国人民抗日战争、苏联伟大...,不违规,,,,,,
5778,#乘着郑州地铁去赏花# 郁金香开了，春天把浪漫都藏进了花海里。风掠过花瓣时，连阳光都变得温柔起来。愿我们都能在这春日里，接住生活递来的小美好。（客运二中心 黄俊翔 于海洋） ​,不违规,,,,,,
5779,安利一个课程表,不违规,,,,,,
5780,逐玉剧粉真的伟大…世界对我猪儿以没有共创没有扫楼没有双人杂志没有双人直播🈶播前全网毒奶播出全网黑水剧宣团队偏心敷衍了事以及猝不及防的全集泄漏  但伟大的猪儿剧粉报以双平台持续破万且🥝再创新高以及顶塔最快破亿…我真的一直哭猪儿实在争气逐玉剧粉实在伟大😭🥹 ​,不违规,,,,,,
5781,【#浙江用无人机给大山老人送热饭#】山区老人吃饭难？翻山越岭送过去，饭菜早就凉了。近日，浙江磐安直接派无人机“空投”热饭！以前人工翻山送需要50分钟，现在8分钟飞越山路，保温箱直达村口，村干部接力上门，饭菜依旧热气腾腾。无人机送的是热饭，更是满满的民生温度。小饭碗托住大幸福，磐安以“科技+养老”，把温暖稳稳送进大山深处。L中国蓝新闻的微博视频 收起d,不违规,,,,,,
5782,余宇涵超话 想问问北京音乐节当天八点左右到场馆还有机会挤进前排吗？周五下午还有课，只能周六早点去，第一次去音乐节啥都不知道 ​,不违规,,,,,,
5783,导师给我上的最重要的一课 ​,不违规,,,,,,
5784,30分钟有氧运动健身操-爱奇艺,不违规,,,,,,
5785,周六周日带着三个孩子疯玩的两天一天去公园一天去摘草莓顺道去河边坐坐老公说天天往外跑车都受不了这么好的天气这么好的孩子有什么理由呆在家里不出去呢孩子们开心我就很开心 ​,不违规,,,,,,
5786,考完试了诶 心里空落落的 总觉得自己还应该学习 继续学习 玩手机还是有负罪感这就是考试后遗症吧 我明天要让自己忙起来！ ​,不违规,,,,,,
5787,21854【】来看青年夏洛克吧，虽然几乎全架空（莫里亚蒂改成和福尔摩斯同龄，福尔摩斯战力被削，福家toxic），但华人女主很有气质，而且她的故事线有种武侠风，只身前往异国报了仇回到家乡又和以为会客死他乡的好友重逢。不如说里面的中国女角色除了妆造雷人外塑造的都挺讨喜的。另外需要关弹幕，一见福莫互动或者青年福战斗吃瘪就有人刷华生或华生在打仗，哪怕华生这时候实际上在读博，哪怕华生只当过一年军医，哪怕福尔摩斯战力比华生强多了。 收起d,不违规,,,,,,
5788,杭州雨天🌧️不能错过的8️⃣个绿色能量场🌲,不违规,,,,,,
5789,今天坐地铁回来的时候，旁边坐了个小学语文老师。半路上接到学生家长的电话，一聊就是半个小时。学生的妈妈在电话里一直倾诉小孩不认真做功课，她很焦虑，怕孩子以后不爱学习，没有前途。老师很负责，想各种办法引导学生妈妈教育。但每提一个办法都被学生妈妈否决，要么试过了不行，要么想象中觉得不行，总之全部都没采用。这个老师很耐心，脾气也很好，又从老师的角度来宽慰学生妈妈，承诺以后上课多关注她的孩子，又从各种犄角旮旯的角度夸了她的孩子一通。在我下地铁前她们还在打电话。当老师真不容易啊 收起d,不违规,,,,,,
5790,人到中年，要活得人间清醒,不违规,,,,,,
5791,理工男博,不违规,,,,,,
5792,玩得很好的前同事今天来我家惹，她说我的房间很美妙，像小时候梦寐以求的房间，可以轻松待上一整天非常喜欢这种评价呀，想邀请每一个朋友来我房间玩 ​,不违规,,,,,,
5793,C罗儿子要加盟皇马？15岁迷你罗试训皇马，C罗的7号后继有人,不违规,,,,,,
5794,词不达意  依然最热爱大海  拍了很多美景 t但是我是服装博主 ​,不违规,,,,,,
5795,如果我说 不想让今天和无数平常一天一样从记忆里淡出流失，就会有一个办法把时间变得更久远，发生更多值得被记住的事吗？不知道，但一个人也别忘了逛公园。 ​,不违规,,,,,,
5796,去年的现在，我还在想着要去爬泰山现在是一点要出去玩的想法都没有，觉得出去玩太累果然年轻的时候要多出去看看感受一下世界留点记忆不知道哪天开始心态就突然老了不想出门了 ​,不违规,,,,,,
5797,老k是我见过唯一一个健身之后不发腮脖子不变粗的，如果不是基因彩票的话，可以靠卖课给爱健身的爱豆来给英皇还债 ​,不违规,,1.0,,,,
5798,💥范丞丞在宇闪的高情商 和前辈处得好和后辈也玩得好 L莹仔说娱乐的微博视频 ​,不违规,,,,,,
5799,谁敢信这个孔雪儿以前是爱豆！终于有人把小说倔强女主被迫楚楚可怜的妥协演活了。这演技谁敢信这个孔雪儿以前是爱豆，演的好有感染力！愤怒、委屈、无奈、恐惧、妥协，演技很有层次！谁能想到转演员才没几年，演技已经这么牛了！ L江弈辰的微博视频 ​,不违规,,,,,,
5800,上课实况,不违规,,,,,,
5801,"自主识字。比较“堵”和“赌”这两个字,二者声旁相同",不违规,,,,,,
5802,悄悄12连胜！NBA联盟第一！二当家也回归，总冠军或许没悬念了,不违规,,,,,,
5803,真的好乖啊，怎么会怎么乖，在吗看看鸟。笑死，本来打算左耳再打两个耳骨钉现在已完全放弃，鸟子太爱蹲肩头然后啃耳钉了，拦都拦不住，感觉金属对鸟嘴有致命诱惑，只敢让她蹲没耳钉的那一边（会蹲着一直啃眼镜腿）我去别的房间做事情她就全程呆在架子上完全不乱跑，太乖了这是天使。 ​,不违规,,,,,,
5804,博士毕业你必须要知道的五大法则！,不违规,,,,,,
5805,脚爱出汗，要选什么样的袜子呢？,不违规,,,,,,
5806,【制造业转型升级 特色智能体迎发展机遇】近期，工业和信息化部召开干部大会，会议提出，开展制造业数字化转型行动，深入实施“人工智能+制造”行动，培育一批特色智能体。这些举措将深度拓展智能体在制造业领域的应用范畴，使其成为推动制造业转型升级的核心驱动力，引领行业迈向全新发展高度。今年1月份，工业和信息化部等八部门联合发布的《“人工智能+制造”专项行动实施意见》提出，到2027年，我国人工智能关键核心技术实现安全可靠供给，产业规模和赋能水平稳居世界前列。同时，业内普遍预计，2026年智能体将步入快速发展的黄金时期。O网页链接 收起d,不违规,,,,,,
5807,杜伦26+14丢绝杀！东部第一活塞加时惜败老鹰 杰伦复出27+8+12,不违规,,,,,,
5808,35+小县城通勤穿搭,不违规,,,,,,
5809,全员恶人#三分钟视频助燃计划##三分钟安利佳片# L趣风的微博视频 ​,不违规,,,,,,
5810,孟子义超话 真正拥有力量的人，不管是命运还是宿命都可以自己创造。                        ——《犬夜叉》孟子义 孟子义 孟子义 #孟子义尚公主##孟子义暮晚摇##孟子义将门毒后##孟子义沈妙##有点子义思# ​,不违规,,,,,,
5811,柯受良，一位心怀赤诚的台湾硬汉。1992年，他飞越长城，为国筹款；1997年香港回归前夕，听闻外国车手欲抢先飞越黄河，他毅然挺身而出。为了这场壮举，他散尽家财、赌上性命，历经无数惊险试飞。最终，他以1.58秒驾车飞越壶口天险，让世界看见中国人的骨气。他说，长城是父，黄河是母，唯有中国人来飞跃。一生热血，以身献国，这份纯粹的爱国情怀，永远令人动容。 L白头翁的白的微博视频 收起d,不违规,,,,,,
5812,喜欢这样平静的一天，早上睡到自然醒，锅里还有爸爸做的早饭，吃完饭逗逗猫去洗澡，热水从头到脚浇一遍，我喜欢洗发梳按摩头皮的触感；喜欢鬃毛刷给皮肤带来的痛感；喜欢水流冲过沐浴露身上滑腻腻的感觉。洗完澡换上新睡衣看着剧一边敷面膜一边吹头发，然后涂护发精油和后续皮肤保湿防晒工作。涂身体乳时一定要把衣服脱掉，喜欢身体乳的香气和甘油的滋润。下午把头发挽起来换身喜欢的衣服去练普拉提。这样平静的日子一直生活下去吧。 收起d,不违规,,,,,,
5813,布朗31+8+8凯尔特人终结雷霆12连胜 SGA33分8助攻,不违规,,,,,,
5814,天妒英才？穆迪刚砍23分遭遇恐怖重伤，勇士这运气太背了！,不违规,,,,,,
5815,我发现如果不出去玩我相册里根本不会有什么照片 ​,不违规,,,,,,
5816,肖战超话#肖战的藏海传真的太猛了# xz #肖战藏海# 古装权谋大剧《藏海传》诚意上线，肖战 以细腻演技诠释藏海从稚奴到国士的蜕变，十年隐忍、步步为营，剧情环环相扣，制作精良厚重，值得细细品味。#肖战藏海传# | #藏海传# L肖战工作室的微博视频 ​,不违规,,,,,,
5817,–总有一天我会回到老故乡随骨超话 ​,不违规,,,,,,
5818,少儿创意舞蹈表演推荐《劳动光荣》 #少儿运动会舞蹈 #少儿创意节目 #劳动节表演 #劳动节目 #运动会创意舞蹈,不违规,,,,,,
5819,睡眠障碍，已经成为时代病！我母亲的小区。一大群人要依靠安眠药入睡。如果没吃安眠药，会一晚无眠。抑郁症，也会产生睡眠障碍。心理压力大，焦虑，同样会影响我们的睡眠。另外，不同地气磁场，对睡眠产生明显作用。在新加坡的时候，一天走四万步，但就是不困。在吉隆坡，时而时而，睡眠质量不如在巴厘岛。在巴厘岛的睡眠最好，动不动就困了。而且像我们的皮肤和发质，在不同地方，由于水土问题，会有不同状态呈现！一个放松的环境，一个令人开怀的地方，会对身体有提升免疫力的效果！#谁偷走了我们的困意# 收起d,不违规,,,,,,
5820,“芦宝”与“海娃”丨芦韵非遗·匠心传承“芦”承千年文脉，“海”纳万里丰饶。2026年，宁河区深挖地域文化内涵，聚力打响“芦”字头、“海”字号特色品牌，让芦荡的古韵与沧海的生机交融共生，让本土特色成为宁河发展的鲜明标识。区委宣传部联合宁河融媒推出《“芦宝”与“海娃”》新春特别栏目，陪您一起循着“芦”字的脉络，细数文脉传承的千年底蕴；顺着“海”字的浪潮，探寻湿地馈赠的生态活力，全方位解锁宁河的文化之美、生态之美、品牌之美，让浓浓年味里满是家乡的特色风情，让宁河的“芦”韵“海”味更加可知、可感、可亲。今天播出：芦韵非遗·匠心传承。 L宁河发布的微博视频 收起d,不违规,,,,,,
5821,插电式卷发棒可以带上飞机吗？-汽车之家,不违规,,,,,,
5822,高中政治必修一1.1.2 教案,不违规,,,,,,
5823,还有39天劳动节，清明放假还有13天 #五一劳动节 #五一 #春节倒计时,不违规,,,,,,
5824,【禁毒宣传进校园 上好“开学第一课”】朝阳区禁毒部门深入辖区职业学校开展“开学安全第一课”主题教育活动，以禁毒宣传为核心，为学生送上实用“安全大礼包”，筑牢校园安全屏障。法制副校长结合一线工作中接触的青少年涉毒真实案例，用通俗易懂的语言，详细讲解海洛因、冰毒等传统及合成毒品的具体危害，重点拆解伪装成“奶茶”“跳跳糖”“巧克力”等青少年易接触食品的新型毒品识别技巧。还深入剖析了毒品对自身，以及对家庭、社会的毁灭性影响，引导学生认清毒品陷阱，坚定“珍爱生命、远离毒品”的信念，自觉抵制诱惑、学习禁毒知识，筑牢拒毒防毒思想防线。#北京禁毒在行动[USER] 收起d,不违规,,,,,,
5825,狼王回归！爱德华兹膝伤无碍，森林狼头号杀器复出倒计时,不违规,,,,,,
5826,钊勋超话  萌萌的代餐我狠狠代！（原代餐来源于xhs我目前打算玩一辈子手机） ​,不违规,,,,,,
5827,画课堂的ppt太难刷了！,不违规,,,,,,
5828,笋：军哥润不润啊？唉，军哥很润龙*笑，球*笑：你还去摸了吗？又摸了一下吗笋：唉，军哥自己给我展示的龙：不是哥们球：无敌了球：有点变态，兄弟球：你们今天吃啥了？笋：吃的火锅啊球：火锅笋：哎，下回这个……下回龙哥来，我跟半球可以一起去找你吃一下这个，这家不赖啊，种个草球：这是什么、什么口味，川味吗笋：呃，不是球：不是辣锅，是……笋：是那种拼锅球：啊笋：叫什么啊……卧槽，刚吃完我就忘了，老年人智识球*笑，笋*笑笋：叫什么，我靠，等会儿我看一下高德地图球：刚吃完就忘了，无敌了笋：我勒个……没看它的名字笋：没事，但我记得在哪儿 收起d,不违规,,,,,,
5829,萨拉赫下家预测！英媒曝加盟沙特可比肩C罗，签美职联将携手梅西,不违规,,,,,,
5830,姆巴佩距法国队史射手王就差1球，吉鲁的纪录快保不住了！,不违规,,,,,,
5831,又是康复训练的一周我们馆有自己的铁人三项最后一节课上完之后对所有练crossfit的人都充满了敬意柔术最近终于有了那么一丝丝的进步待机状态明显减少了一些一顿猛练和猛吃之后体重纹丝没动 真令人欣慰 ​,不违规,,,,,,
5832,20260326电视剧播放量排行榜来了！（网播）《逐玉》这部剧继续蝉联第一名，当日豪取1.64亿，目前累计播放量达到了22.13亿，🥝平台热度最高到了10604！第二名被《好好的时光》拿下，当天获得3278.6万播放量！《我的山与海》则排名第三，当日取得了2763.1万播放量！第四名是《你好1983》，当天获取了2529.8万播放量，🥝平台热度最高达到了7692！《正义的女神》这剧排名第五，当日拿到2229.2万播放量！第六名被《隐身的名字》拿下，当天得到1590.1万播放量，🐧平台热度最高到了24121！《她的盛焰》排名第七，当日取下1205.2万播放量，收视率最高突破至0.2196%！第八名则是《乌蒙深处》，当天拿下了932.5万播放量；《太平年》这剧排名第九，当日取下659万播放量！第十名是《唐宫奇案之青雾风鸣》，当天取得了654万播放量！ L想成为想成为的人的木木木的微博视频 收起d,不违规,,,,,,
5833,#开局十五五 奋楫新征程#｜#春耕#正当时 福海#农资保供#“不断档”当前，福海县春耕生产已全面铺开，全县农资市场呈现货源充足、购销两旺的火热态势。为切实满足农户集中采购需求，福海县各农资经营点持续优化服务举措，开通线上预订、线下配送、上门送货等便民服务，让农户足不出户就能购齐所需农资，极大提升采购的便捷度和效率。为确保春耕生产用种用肥安全，福海县坚持早安排、早部署、早行动，扎实推进农资储备各项工作。截至目前，全县已储备种子43.83吨、化肥总量4.19万吨，各类农业生产物资储备充足、供应稳定，为春耕生产提供了坚实的物资支撑。 收起d,不违规,,,,,,
5834,轰60+7+5！没詹姆斯很难赢，东契奇赛后明牌，湖人夺冠定律也来了,不违规,,,,,,
5835,Push-up practice😆!,不违规,,1.0,,,,
5836,240323｜twi更新アリーナツアー in愛知！ありがとうございました〜💞アリーナいっぱいにペンライトが光ってて海みたいだった〜！綺麗だったの！たくさん照らしてくれてありがとう🌟⋆꙳でら楽しかった〜〜🫶🏻次は有明アリーナ！気合い入れて行くよ〜♪#イコラブアリーナツアー2024 ​,不违规,,,,,,
5837,杨紫超话  静谧午后，以温柔之姿，赴一场秋日之约杨紫 L杨紫工作室的微博视频 ​​​🌳#杨紫生命树# yz#杨紫白菊#杨紫杨紫 杨紫杨紫董竹君|杨紫玉兰花开君再来|杨紫白菊|杨紫生命树|杨紫黄梓瑕|杨紫李祯|杨紫祯娘传|杨紫骆佳|电影猎毒 ​,不违规,,,,,,
5838,坚决战斗！坚贞不屈！杨靖宇牺牲83周年,不违规,,,,,,
5839,演员张翅超话  🪽#张翅# 翅煲们还是有一定能量的直播后半场肉眼可见的开心起来了哈哈今天的翅翅太让人心疼，这种被背刺的痛苦应该算是人生必修课，用强大的心脏努力挺过来吧！把这种感觉记住，以后拍戏的时候，会化作你的瑰宝～张张张翅 ​,不违规,,,,,,
5840,NBA常规赛明天3月26日赛程：湖人PK步行者，雷霆PK凯尔特人,不违规,,1.0,,,,
5841,我们对海叔的育儿方式是不是认知错误了 他俩玩分手厨房都能这么冷静那他俩教育起孩子说不定也是慈父慈母温和劝导循循善诱呢 ​,不违规,,,,,,
5842,第一次炒米粉这么好吃，又软又筋道，松散不成团，有锅气香。 都快去...,不违规,,,,,,
5843,我没想到有一天我会觉得上班好像也还行 找点事干。刚开始上班那半年就是忙碌 还有的时候觉得好像在上实操课差不多半年的时候 开始在每个周日晚上痛心周末结束了差不多一年的时候 开始觉得无限地上班好痛苦 好想放假 好想拥有双休寒暑假 哪怕只是一个连续几天的小长假来割裂一下上班的生活也好差不多一年半的时候 开始觉得这个生活有点空虚 机械重复 没有让我充满热爱向往的事情差不多两年半的时候 开始觉得好像上班也还行 虽然仍然不喜欢上班的一些烦恼 但是可以中和一下空虚的生活 到账的工资就感觉没有完全虚度光阴我舍友说我可以尝试建立新的爱好但是我就是发自内心没啥喜欢的想做的 收起d,不违规,,,,,,
5844,逛香港万宁有个老年人保健品专区，就放了几种：1.免疫球蛋白：这款前年我给爸妈买过的，提升免疫力还蛮有用的，他们感冒都会陪着免疫球蛋白一起吃，也会恢复更快，现在换成大陆便宜的了，感觉没什么差别。2.软骨素：前几年爸妈膝盖疼就买过这玩意了，后面发现线上有更多选择，吃的效果都不错，一盒就能有变化，有条件还可以打细胞因子。3.脑活素：我也吃过，反正就是记忆力差要吃的东西，预防老年痴呆，我实在麻醉麻的记忆力太差了，大概也有辅酶q10和鱼油的成分，能提升记忆力。4.安宫牛黄丸：救命用的单颗药，在家里备了两颗，父母高烧、中风之类的可以吃一颗。5.水蛭素：对心脑血管好，抗栓并且对三高也挺好的。#谈美的香港功课# 收起d,不违规,,,,,,
5845,第一次吃这个薯片的时候简直觉得惊艳至极好特别的酸黄瓜味 就是麦麦双层吉士里面那个酸黄瓜 虽然我也不爱吃那个酸黄瓜 但这个薯片真的超级无敌好吃 吃到停不下来 于是又买了2包 今晚再吃的时候 觉得没第一次好吃了 到底是盒马的品控问题还是……之前吃那个黄瓜味蔬菜饼的时候 也是觉得好好吃 可是第二次吃就不好吃了今天终于不加班放个假 去上了一个半钟的课 果然一周没跳 又退步了 脑容量严重不足 根本记不住动作 不过运动了就是开心的 跳的是Jennie的舞 她真的好火 虽然我也没太多关注 跳完去迷你苏买个粉扑 再去市场买点水果和青菜 晚上煮了个肉蛋青菜三养辣泡面 好吃中午第一次试了空气炸锅鸡蛋明天要迎来魔鬼的一周了 两场活动 收起d,不违规,,1.0,,,,
5846,sc：往螺蛳粉里倒奶茶ing龙：往螺蛳粉里倒奶茶吗球：往螺蛳粉里倒奶茶吗？我的……龙：不是哥们儿球：不是哥们儿球：有点邪修了，这龙：往螺蛳粉里倒西湖醋鱼？西湖醋鱼啥味道，兄弟，下次有机会尝一下球：奶茶泡泡面，然后把泡面的料往奶茶杯里面倒龙：有没有正宗的西湖醋鱼，不正宗不吃 ​,不违规,,,,,,
5847,赫海超话 [咖啡馆中字] 260314 李东海油管更新 | 些许.. （相当）迟到的Vlog |  HARU本视频来自互联网，由［No.1044DECafe］字幕组独立译制  资源：生椰拿铁  翻译：橙C美式，胡萝卜蛋糕，阿芙加朵，草莓芝士星冰乐  视频：草莓圣代，崂山白茶，小黄油拿铁，米乳拿铁  校对：草莓芝士星冰乐，荔枝拿铁  合轴&压制：荔枝拿铁  本视频仅供学习交流，禁商用二传二改。 L1044号DE咖啡馆的微博视频 收起d,不违规,,1.0,,,,
5848,日本人怕说英语到底有多离谱？,不违规,,,,,,
5849,有一种情叫祖孙情，有一种爱是爷爷奶奶的爱，答应泽泽每周末都带他回屯子看爷爷奶奶 #人类幼崽有多可爱 #搞笑萌娃 #祖孙情 #记录生活,不违规,,,,,,
5850,我感觉我腿已经都好了，不疼了！我爸还是不放心，还是让我坚持打针！现在都连着打了一个星期了！打针都有恐惧了！#在家做美食 #内容过于真实 #新农人计划 #父子日常 #正能量 务农人日常,不违规,,,,,,
5851,#郭晓婷王天辰真要拍第二十八年春了# 哇哦，姐姐姐夫真的三搭啦！ 还是男女主！好剧会让好演员被看见，恭喜且期待！！ ​,不违规,,,,,,
5852,大崩盘！骑士最多落后高达21分：全队三分15中3，哈登心不在焉,不违规,,,,,,
5853,"#薛之谦四面台舞美#
发一个320首场的『在那天回不去的路上』的大合唱

然后根据这两天歌单
统计了演唱会歌曲的QQ音乐收藏量分布
12首超千万收藏大爆歌
11首百万收藏热歌
6首宝藏遗珠（＜百万收藏）
以及3首本人未发行在演唱会首唱！
还有18选2的意难平环节
不难发现歌单在贴合主旨表达的同时
非常均衡地照顾了绝大部分歌迷

然而，我以为的宝藏遗珠『在那天回不去的路上』
会有如此如此震撼的全场大合唱呢！
#薛之谦万兽之王巡回演唱会# 收起d",不违规,,,,,,
5854,一个屠户怎么会和贺将军是故友。爹娘，当年的真相到底是什么？#逐玉# ​​​,不违规,,,,,,
5855,邮报：曼联预计赛季结束后正式报价托纳利，B费也支持引进他,不违规,,,,,,
5856,黄金这波暴跌，全网几乎没人提前精准预判，跌完之后反倒全是“早说过”的马后炮。说到底，多数行情分析都是涨了看涨、跌了看跌，靠情绪博流量，根本不对普通人的本金负责。作为普通投资者，放弃抄底逃顶的幻想，不赌拐点、不追短线。把黄金当成长期抗通胀的配置，大跌分批买、小额定投，少看煽动性观点，只信自己能看懂的逻辑。市场不缺机会，只守好不乱折腾的本金就够了。黄金超话#黄金##黄金投资##金价# 收起d,不违规,,,,,,
5857,女友姐给一堆朋友做了cp拼豆。我会一直排队！直到拿到我cp的小设计豆！！！ ​,不违规,,,,,,
5858,22号，可能昨天确实累了吧，今天睡到快9点才醒，嗓子不舒服，最近说太多话嗓子太累。但是今天上午还是挺舒服，在家休息，简单修改一些文件。中午2点去上了节健身课，然后回家吃下午饭老妈蒸了扣肉和馒头还有白菜粉条炖丸子，好吃😋吃完饭就赶去单位工作，挺顺利。明天就要带老妈去办理入院，后天就手术啦，虽然说手术不大也都安排好了，但我还是挺紧张的，希望一切顺利吧，都会好的，都会好的，都会好的 收起d,不违规,,,,,,
5859,周深超话#腾讯音乐由你榜# 周深《背着山的人》（《我的山与海》电视剧主题曲&片尾曲）K背着山的人 QQ音乐 ​,不违规,,1.0,,,,
5860,神海风景 ​,不违规,,,,,,
5861,路边小店可能在洗钱！,不违规,,,,,,
5862,爆大冷！大黑马掀翻东部第三：全场狂欢庆祝，新星狂轰26+11+8,不违规,,,,,,
5863,#plog#妈妈姐与胖妹日常有时是魔丸有时是灵珠的秋满了三月龄确实好带了许多（这话不敢说 怕下一秒就打脸 ​,不违规,,,,,,
5864,陈哲远超话 [好运连连]#‍陈哲远梦花廷# czy#陈哲远汤乾自# “遇见及时上上签。”❣️🐾☀🌈🌷🌸🌄登山则情满于山，观海则意溢于海。🌊☘️🌼我才之多少，将于风云而并驱矣。💨☁🌟岁月与朝暮并往 ，然后一同与你行至天光。✨#陈哲远# 陈哲远- ​,不违规,,,,,,
5865,这周末日常，真是一群高精力人类昨天上午几方集合，请他们吃广老板，吃完就赶剧本杀的场，病娇男孩，玩了4个小时，一个个被吓死了，除了一个敢拍NPC头的硬核男人，结束完去吃东北大油边，一边吃一边玩狼人杀，结束后逛逛商场，回去后几个人从九点多聊八卦聊到两点多今天上午又去吃了破破烂烂的烤肉，依旧是狼人杀，闭着眼睛烤肉，玩到店里都没人才走了，接着又去打弹珠，夹娃娃，第一次夹娃娃夹到厌倦，一伙人夹了一购物车的娃娃，我用六个丑娃娃换了一个小bee崽子哈哈哈，忘记拍照了，结束后又去打桌球，分两桌两队pk，菜鸡互啄。晚上又去吃了一个土菜馆，我拍的照片跟宣传片似的哈哈，菜还蛮好吃的，依旧依旧是狼人杀，多一个人游戏更复杂了，菜鸡的我玩自闭了晚上开车回来，下着雨起着雾，回到房间已是十一点多了我戏谑说这是收官之战了，总感觉自己有点报复性玩乐哈哈，对即将变动的岗位有些许无法预料的恐惧感或许没有想象中的大压力和痛苦呢，工作和生活总会有平衡 收起d,不违规,,,,,,
5866,为什么java使用流会导致代码变乱了呢？,不违规,,,,,,
5867,赌钱多少金额才算赌博行为-法律知识|律图,不违规,,,,,,
